Description,Winning Probability,Reasoning,Relevant Laws
My car drove straight and was hit by a car out of the alley.,Plaintiff Win: 80%,The defendant did not give way when leaving the alley.,Section 71 - Vehicles exiting the alley must give way first.
My car turned left and was hit by a motorcycle overtaking on the left.,Defendant Win: 70%,Motorcycle overtaking on the left is illegal.,"Article 44 - Do not overtake on the left, except in certain cases."
I drove through a red light and was hit in the middle of an intersection.,Defendant Win: 90%,Running a red light is a serious offense.,Section 22 - Do not break through red lights.
My car was hit by a trailer from behind while parked at a red light.,Plaintiff Win: 95%,Trailers do not keep a legal distance.,Article 40 - Distancing must be observed.
I was hit by a car while changing lanes without turning on my turn signals.,Defendant Win: 80%,Failure to turn on the turn signal is considered reckless.,Section 36 - Turn on the turn signal.
My car hit the rear of the front car because he braked suddenly.,Defendant Win: 85%,The person who hits the rear is often at fault.,Article 40 - Safe distancing must be observed.
I parked on the side of the road and was hit by a car while opening the door to get out of the car.,Defendant Win: 75%,You have to be careful before opening the door.,Article 59 - Do not open the door without care.
My car was hit while crossing a pedestrian crossing.,Plaintiff Win: 90%,Cars must stop for people to cross the crosswalk.,Section 21 - People must be stopped from crossing the crosswalk.
I was struck by a car while walking across the road outside the crosswalk.,Defendant Win: 70%,People crossing the road must use the crosswalk.,Article 105 - Pedestrians must use the designated crossing.
My car was hit by a motorcycle while reversing.,Defendant Win: 65%,The person who turns around must give way first.,Section 34 - Give way before turning around.
My car was hit while changing lanes in a no-lane zone.,Defendant Win: 85%,Violating traffic signs,Section 21 - No lane change in prohibited areas
I parked in a no-parking area and the car was crashed.,Defendant Win: 90%,Parking in a prohibited place is considered a violation of the law.,Section 57 - Do not park in a prohibited place.
My car was hit while turning right in a joint with no traffic light.,Defendant Win: 75%,You must give way to the car coming straight first.,Section 71 - Give way to vehicles coming in a straight direction.
I was hit by a car because I veered into the bus lane without giving way.,Defendant Win: 80%,Vehicles that deviate into the special lane must give way first.,Article 37 - No unnecessary entry into the special lane
My car was hit by a bicycle on the main road.,Plaintiff Win: 70%,Bicycles must follow the same traffic rules as cars.,Section 80 - Bicycles must comply with traffic rules.
My car collided with a motorcycle that reversed.,Plaintiff Win: 85%,Illegal reverse motorcycles,Section 43(4) - Prohibition of Driving in Reverse
I was arrested by the police for speeding.,Defendant Win: 90%,Driving faster than the law,Section 67 - Determine the maximum speed in each area.
My car was hit for violating a stop sign.,Defendant Win: 85%,You must stop at the sign before continuing.,Section 22 - Traffic signs must be obeyed.
My car was hit while reversing out of the alley.,Defendant Win: 80%,You must give way before reversing the car.,Section 34 - Give way before reversing the vehicle.
My car was hit because it didn't turn on its headlights at night.,Defendant Win: 90%,Headlights must be turned on when it is dark.,Section 11 - The headlights must be turned on at the specified time.
I drove my car into an electric pole while dodging a dog cutting in front of me.,Defendant Win: 95%,Controlling the car is not considered careless.,Section 43(7) - No reckless driving
I was arrested by the police for drunk driving.,Defendant Win: 95%,Drunk driving is a serious offense.,Section 43(2) - Do not drive while intoxicated.
My car was hit on the expressway and the other party fled.,Plaintiff Win: 80%,The fugitive may be guilty of hit-and-run charges.,Section 78 - The vehicle must be stopped in the event of an accident.
My car was hit while parking on the street at night without warning lights.,Defendant Win: 75%,Emergency lights must be turned on when parked in dangerous places.,Section 61 - The warning lights must be turned on when parking on the side of the road at night.
My car was hit while diverting onto the main road from a secondary road.,Defendant Win: 80%,You must give way to traffic on the main road first.,Section 70 - Giving way must be given when exiting a secondary road.
My car was hit because it was driving in the bus lane.,Defendant Win: 85%,Do not use the bus lanes without permission.,Section 37 - No unnecessary entry into the special lane
I parked a car in a row and the car was hit.,Defendant Win: 90%,Illegal double parking,Section 57 - Do not park on top of each other.
My car was hit by a car while waiting for a green light and the other party ran away.,Plaintiff Win: 90%,The fugitive may be guilty of hit-and-run charges.,Section 78 - The vehicle must be stopped in the event of an accident.
I was hit by a car while driving in a roundabout.,Defendant Win: 80%,Vehicles in the roundabout have the right to go first.,Section 72 - Give way to vehicles in roundabouts.
My car was hit while changing lanes on a common road with no lane dividers.,Defendant Win: 70%,You must give way before changing lanes.,Section 36 - Do not change lanes without care.
I was hit by a truck while parked at a rest stop.,Plaintiff Win: 85%,Trucks must control their speed.,Section 40 - Safe distancing must be observed.
My car was hit by a motorcycle while I was turning on my right turn signal and waiting for a turn.,Plaintiff Win: 70%,Motorcycles must not overtake at risk points.,Section 43(5) - Driving without regard for safety
I was arrested by the police for using my phone while driving.,Defendant Win: 90%,Using a phone while driving illegally,Section 43(9) - Do not use mobile phones while driving.
My car was hit while making a U-turn at a no-turn point.,Defendant Win: 85%,Violating the no-turn sign.,Section 71 - Give way when making a U-turn
I was hit by a car while walking on the shoulder of the road.,Defendant Win: 80%,Pedestrians must use sidewalks.,Section 108 - No walking on the shoulder of the road
My car was hit because it was parked close to the curve.,Defendant Win: 85%,Do not park in dangerous areas.,Section 57 - Do not park in dangerous places.
I was hit by a bus while changing lanes.,Defendant Win: 75%,Buses have the right to go first in the bus lane.,Section 37 - Prohibition of obstructing the expressway
My car was hit while driving through the rain without turning on the headlights.,Defendant Win: 80%,The headlights had to be turned on in bad weather.,Section 11 - Headlights must be turned on when visibility is poor.
I drove a car and hit a dog that was running in front of me.,Defendant Win: 90%,The driver must control the vehicle safely.,Section 43(7) - No reckless driving
My car hit a pedestrian crossing the road who was not using the overpass.,Defendant Win: 75%,People crossing the road must use overpasses.,Section 105 - Pedestrians must use the designated crossing.
I was hit by a motorcycle from behind while slowing down to cross the road.,Plaintiff Win: 85%,Cars behind must be spaced and slowed down.,Section 40 - Distancing must be observed.
I was arrested for driving without a driver's license.,Defendant Win: 95%,Driving must have a valid driver's license.,Section 42 - Driver's license is required to drive.
My car was hit because the parties reversed without looking.,Plaintiff Win: 80%,You have to give way before backing up.,Section 34 - Give way before reversing the vehicle.
I was hit by a car while parking in the lane.,Defendant Win: 85%,Do not park in the lane.,Section 57 - Do not park in a prohibited place.
My car was cut off by a bicycle while driving on a major road.,Plaintiff Win: 75%,Bicycles must be given way to the car first.,Section 80 - Bicycles must comply with traffic rules.
I drove into a truck that broke down in the middle of the road without warning.,Plaintiff Win: 85%,The car breaks down and must set up a warning sign.,Section 61 - An alarm must be set when parking a car breaks down.
My car was hit by a motorcycle while leaving the parking lot.,Defendant Win: 80%,Cars leaving the parking lot must give way.,Section 71 - Give way when exiting the parking lot.
